,molecule_chembl_id,IC50,units,SMILES,pIC50,activity_label,ML_activity_label
1318,CHEMBL2012813,30.0,nM,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](C)N(C)C(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,7.522878745280337,active,1
1319,CHEMBL1093359,30.0,nM,Cc1ccc(NC(=O)CCCCC(=O)NO)cc1C,7.522878745280337,active,1
1320,CHEMBL3577691,30.0,nM,CN1c2ccc(NCc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21,7.522878745280337,active,1
1321,CHEMBL466215,30.0,nM,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(N)=O)c3ncc(-c4ccc5ccccc5c4)[nH]3)c2c1,7.522878745280337,active,1
1322,CHEMBL3689898,30.0,nM,CCN(CCC(C)C)Cc1c(CCC(C)C)nc2cc(/C=C/C(=O)NO)ccn12,7.522878745280337,active,1
1323,CHEMBL3689893,30.0,nM,CCc1nc2cc(/C=C/C(=O)NO)ccn2c1CNC(C)(C)C,7.522878745280337,active,1
1324,CHEMBL3689856,30.0,nM,CCCCN(CC)Cc1c(C)nc2cc(/C=C/C(=O)NO)ccn12,7.522878745280337,active,1
1325,CHEMBL3827056,30.1,nM,CN(Cc1nc2c(N3CCOCC3)nc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)nc2n1C)c1ncc(C(=O)NO)cn1,7.521433504406157,active,1
1326,CHEMBL5093737,30.3,nM,O=C(CCCCCCNc1nn2c(=O)c3cc(F)ccc3nc2c2ccccc12)NO,7.518557371497695,active,1
1327,CHEMBL5270878,30.5,nM,CCC(=O)CCCCC[C@H](NC(=O)C(=O)N1CCOCC1)c1ncc(-c2cc3ccccc3nc2OC)o1,7.515700160653214,active,1
1328,CHEMBL1631913,30.7,nM,COc1cc2cc(c1)COc1ccccc1NC(=O)C(CCCCCC(=O)NO)OC/C=C\2,7.512861624522813,active,1
1329,CHEMBL5268468,30.7,nM,O=C(NO)c1ccc(NC(=O)[C@@H](NS(=O)(=O)c2cccc3ccccc23)c2ccccc2)cc1,7.512861624522813,active,1
1330,CHEMBL1095135,31.0,nM,CCN1CCC[C@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,7.508638306165727,active,1
1331,CHEMBL5279294,31.0,nM,Cc1noc(C)c1-c1ccc2c(c1)c(Cc1cccc(C(F)(F)F)c1)cn2CCCCCCC(=O)NO,7.508638306165727,active,1
1332,CHEMBL1095711,31.0,nM,CCN(CC)CCn1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,7.508638306165727,active,1
1333,CHEMBL1095718,31.0,nM,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCN2CCOCC2)c1C,7.508638306165727,active,1
1334,CHEMBL5088654,31.0,nM,CN1c2ccc(F)cc2C(=O)N2CCc3c([nH]c4ccc(OCc5ccc(C(=O)Nc6ccccc6N)cc5)cc34)C21,7.508638306165727,active,1
1335,CHEMBL1819263,31.0,nM,Cc1[nH]c2cncnc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,7.508638306165727,active,1
1336,CHEMBL1096432,31.0,nM,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCN2CCOCC2)c1-c1ccccc1,7.508638306165727,active,1
1337,CHEMBL3309855,31.0,nM,O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H]2CCOCCCCOCC[C@@H](NC1=O)C(=O)N2)NO,7.508638306165727,active,1
1338,CHEMBL242533,31.0,nM,O=C(/C=C/c1cccc(C(=O)c2cc3ccccc3[nH]2)c1)NO,7.508638306165727,active,1
1339,CHEMBL3664050,31.0,nM,CC(C)COC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,7.508638306165727,active,1
1340,CHEMBL5087772,31.0,nM,O=C(CCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccccc5[nH]4)cc3[nH]2)cc1)NO,7.508638306165727,active,1
1341,CHEMBL4793261,31.0,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc(C(=O)OC)c(F)cc2OC)[nH]1,7.508638306165727,active,1
1342,CHEMBL3664127,31.0,nM,CN(Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2O)cc1)Cc1cnccn1,7.508638306165727,active,1
1343,CHEMBL3664108,31.0,nM,CCN(C)Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2O)cc1,7.508638306165727,active,1
1344,CHEMBL4634503,31.0,nM,COc1ccc(C2(C(=O)Nc3ccc(C(=O)NO)cc3)CCCCC2)cc1Br,7.508638306165727,active,1
1345,CHEMBL3758246,31.4,nM,COc1cc(O)cc(OC)c1/C=N/NC(=O)CCCCCC(=O)NO,7.503070351926785,active,1
1346,CHEMBL1631914,31.7,nM,COc1cc2cc(c1)COc1ccccc1NC(=O)[C@H](CCCCCC(=O)NO)OC/C=C\2,7.498940737782249,active,1
1347,CHEMBL1091474,31.9,nM,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,7.496209316942819,active,1
1348,CHEMBL4555936,32.0,nM,COc1ccc(-c2nc(NCCOc3ccc(/C=C/C(=O)NO)cc3OC)cc3c2[nH]c2ccccc23)cc1,7.494850021680094,active,1
1349,CHEMBL1830541,32.0,nM,CCN(CC)CCn1c(CC2CC3CCC2C3)nc2cc(/C=C/C(=O)NO)ccc21,7.494850021680094,active,1
